date,monthly_sales
2014-01-31,3985.0
2014-02-28,2018.0
2014-03-31,2137.0
2014-04-30,1990.0
2014-05-31,2493.0
2014-06-30,2629.0
2014-07-31,1131.0
2014-08-31,1452.0
2014-09-30,2185.0
2014-10-31,2765.0
2014-11-30,1462.0
2014-12-31,1010.0
2015-01-31,2465.0
2015-02-28,1918.0
2015-03-31,3379.0
2015-04-30,2123.0
2015-05-31,647.0
2015-06-30,2880.0
2015-07-31,3104.0
2015-08-31,1826.0
2015-09-30,2790.0
2015-10-31,3974.0
2015-11-30,3214.0
2015-12-31,3914.0
2016-01-31,2365.0
2016-02-29,2832.0
2016-03-31,2206.0
2016-04-30,4028.0
2016-05-31,4407.0
2016-06-30,6347.0
2016-07-31,5154.0
